SYMBOL, SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SSINFRA, SM, 20-Jul-2021,9.4,9.4,9.4,9.4,9.4,9.4,9.4,3000,0.28,1,3000,100
SSWL, EQ, 20-Jul-2021,1271.5,1279,1279,1201,1224.8,1221.5,1230.13,38801,477.3,4888,18509,47.7
STAR, EQ, 20-Jul-2021,785,784.95,788.5,754.2,766,765.95,767.08,336669,2582.5,12657,135156,40.15
STARCEMENT, EQ, 20-Jul-2021,112.2,113.4,117.5,111.05,113.85,114.8,114.95,4269172,4907.58,36993,925413,21.68
STARPAPER, EQ, 20-Jul-2021,160.45,163.3,165.5,159,160.5,160.15,162.43,391564,636.02,8494,106789,27.27
STCINDIA, EQ, 20-Jul-2021,112.8,112.85,113.3,108,108.75,109.1,110.31,52625,58.05,2111,23754,45.14
STEELCITY, EQ, 20-Jul-2021,83,90,98.7,86.05,91.25,91.95,93.91,3020720,2836.62,34053,941132,31.16
STEELXIND, EQ, 20-Jul-2021,68.5,68.8,69.6,66.2,66.5,66.65,67.33,222033,149.5,1814,140495,63.28
STEL, EQ, 20-Jul-2021,114.15,114.15,114.9,111,112.9,113.85,112.89,38056,42.96,788,21095,55.43
STERTOOLS, EQ, 20-Jul-2021,203.35,204.35,204.35,193,195,199.25,198.65,119785,237.95,4335,57756,48.22
STLTECH, EQ, 20-Jul-2021,299.45,299.95,301,292.5,295.9,295.8,296.83,460302,1366.31,9603,220716,47.95
STOVEKRAFT, EQ, 20-Jul-2021,731.8,734.5,750.9,730,731,731.85,738.98,440032,3251.76,18131,72283,16.43
SUBCAPCITY, BE, 20-Jul-2021,24,24,25.2,24,25.1,25.1,25.09,2327,0.58,15, -, -
SUBEXLTD, EQ, 20-Jul-2021,67.7,67.7,68.15,63.35,64.6,64.45,65.24,14570672,9506.52,55282,5513880,37.84
SUBROS, EQ, 20-Jul-2021,324.6,324.5,327.95,314.7,317.1,315.9,317.61,45559,144.7,2420,25617,56.23
SUDARSCHEM, EQ, 20-Jul-2021,749.5,752.9,753.2,737.85,744.85,745.45,746.77,161212,1203.88,11973,80001,49.62
SUMEETINDS, BE, 20-Jul-2021,11.6,11.05,11.05,11.05,11.05,11.05,11.05,88190,9.74,151, -, -
SUMICHEM, EQ, 20-Jul-2021,436.2,439.8,441.85,425.1,435.5,434.05,433.64,678208,2940.99,17405,196723,29.01
SUMIT, EQ, 20-Jul-2021,20.7,20.8,22,19.3,20.5,20.5,20.69,517277,107.04,2313,292009,56.45
SUMMITSEC, EQ, 20-Jul-2021,655.15,660.7,663.7,650,651,651.45,655.5,2078,13.62,373,1067,51.35
SUNCLAYLTD, EQ, 20-Jul-2021,3881.85,3950,4050,3704.65,3783.8,3793.7,3865.87,23140,894.56,3778,6450,27.87
SUNDARAM, BE, 20-Jul-2021,2.35,2.45,2.45,2.25,2.35,2.3,2.34,356413,8.32,352, -, -
SUNDARMFIN, EQ, 20-Jul-2021,2643.4,2656.65,2657.8,2596.85,2609,2608.25,2610.8,9972,260.35,2552,5990,60.07
SUNDARMHLD, EQ, 20-Jul-2021,78.8,78.9,79.55,75.25,76.7,76.75,76.87,366000,281.33,3356,193248,52.8
